userId,feature,sleep_score
1,1598835600 2 8190 1836 1 7500 28740 1 27 27,83
1,1598839200 2 8190 1836 1 7500 28740 1 27 27,83
1,1598842800 2 8190 1836 1 7500 28740 1 27 27,83
1,1598846400 1 8190 1836 1 7500 28740 1 27 27,83
1,1598850000 3 8190 1836 1 7500 28740 1 27 27,83
1,1598853600 1 8190 1836 1 7500 28740 1 27 27,83
1,1598857200 1 8190 1836 1 7500 28740 1 27 27,83
1,1598864400 2 8190 1836 1 7500 28740 1 27 27,83
1,1598868000 2 8190 1836 1 7500 28740 1 27 27,83
1,1598871600 2 8190 1836 1 7500 28740 1 27 27,83
1,1598875200 1 8190 1836 1 7500 28740 1 27 27,83
1,1598878800 1 8190 1836 1 7500 28740 1 27 27,83
1,1599271200 2 8736 2142 0 5760 27960 1 27 27,79
1,1599274800 3 8736 2142 0 5760 27960 1 27 27,79
1,1599282000 2 8736 2142 0 5760 27960 1 27 27,79
1,1599289200 3 8736 2142 0 5760 27960 1 27 27,79
1,1599292800 1 8736 2142 0 5760 27960 1 27 27,79
1,1599296400 1 8736 2142 0 5760 27960 1 27 27,79
1,1599303600 1 8736 2142 0 5760 27960 1 27 27,79
1,1599307200 2 8736 2142 0 5760 27960 1 27 27,79
1,1599314400 2 8736 2142 0 5760 27960 1 27 27,79
1,1599440400 3 210 0 0 0 2280 1 27 27,20
1,1599440400 3 5460 1584 1 4620 19860 1 27 27,40
1,1599444000 1 210 0 0 0 2280 1 27 27,20
1,1599447600 1 210 0 0 0 2280 1 27 27,20
1,1599451200 1 5460 1584 1 4620 19860 1 27 27,40
1,1599454800 2 210 0 0 0 2280 1 27 27,20
1,1599458400 2 210 0 0 0 2280 1 27 27,20
1,1599458400 2 5460 1584 1 4620 19860 1 27 27,40
1,1599462000 2 210 0 0 0 2280 1 27 27,20
1,1599465600 1 210 0 0 0 2280 1 27 27,20
1,1599465600 1 5460 1584 1 4620 19860 1 27 27,40
1,1599469200 1 210 0 0 0 2280 1 27 27,20
1,1599472800 1 210 0 0 0 2280 1 27 27,20
1,1599472800 1 5460 1584 1 4620 19860 1 27 27,40
1,1599476400 3 5460 1584 1 4620 19860 1 27 27,40
1,1599483600 1 210 0 0 0 2280 1 27 27,20
1,1599483600 1 5460 1584 1 4620 19860 1 27 27,40
1,1599487200 1 210 0 0 0 2280 1 27 27,20
1,1599487200 1 5460 1584 1 4620 19860 1 27 27,40
1,1599541200 2 11886 2124 1 4860 32040 1 27 27,83
1,1599544800 1 11886 2124 1 4860 32040 1 27 27,83
1,1599552000 2 11886 2124 1 4860 32040 1 27 27,83
1,1599555600 2 11886 2124 1 4860 32040 1 27 27,83
1,1599559200 3 11886 2124 1 4860 32040 1 27 27,83
1,1599566400 3 11886 2124 1 4860 32040 1 27 27,83
1,1599570000 2 11886 2124 1 4860 32040 1 27 27,83
1,1599890400 2 8484 3150 1 5340 30420 1 27 27,93
1,1599894000 2 8484 3150 1 5340 30420 1 27 27,93
1,1599897600 1 8484 3150 1 5340 30420 1 27 27,93
1,1599904800 1 8484 3150 1 5340 30420 1 27 27,93
1,1599908400 3 8484 3150 1 5340 30420 1 27 27,93
1,1599912000 1 8484 3150 1 5340 30420 1 27 27,93
1,1599915600 3 8484 3150 1 5340 30420 1 27 27,93
1,1599919200 2 8484 3150 1 5340 30420 1 27 27,93
1,1599930000 3 8484 3150 1 5340 30420 1 27 27,93
1,1599969600 2 3108 3420 2 7860 28860 1 27 27,71
1,1599973200 1 3108 3420 2 7860 28860 1 27 27,71
1,1599980400 1 3108 3420 2 7860 28860 1 27 27,71
1,1599984000 3 3108 3420 2 7860 28860 1 27 27,71
1,1599994800 1 3108 3420 2 7860 28860 1 27 27,71
1,1599998400 1 3108 3420 2 7860 28860 1 27 27,71
1,1600005600 3 3108 3420 2 7860 28860 1 27 27,71
1,1600048800 2 6342 3384 3 6540 31380 1 27 27,86
1,1600059600 3 6342 3384 3 6540 31380 1 27 27,86
1,1600063200 1 6342 3384 3 6540 31380 1 27 27,86
1,1600077600 1 6342 3384 3 6540 31380 1 27 27,86
1,1600081200 1 6342 3384 3 6540 31380 1 27 27,86
1,1600084800 1 6342 3384 3 6540 31380 1 27 27,86
1,1600088400 3 6342 3384 3 6540 31380 1 27 27,86
1,1600099200 3 6342 3384 3 6540 31380 1 27 27,86
1,1600102800 3 6342 3384 3 6540 31380 1 27 27,86
1,1600495200 1 4074 2412 0 5220 21360 1 27 27,50
1,1600498800 2 4074 2412 0 5220 21360 1 27 27,50
1,1600502400 1 4074 2412 0 5220 21360 1 27 27,50
1,1600506000 2 4074 2412 0 5220 21360 1 27 27,50
1,1600509600 1 4074 2412 0 5220 21360 1 27 27,50
1,1600513200 2 4074 2412 0 5220 21360 1 27 27,50
1,1600524000 1 4074 2412 0 5220 21360 1 27 27,50
1,1600531200 2 4074 2412 0 5220 21360 1 27 27,50
1,1600534800 1 4074 2412 0 5220 21360 1 27 27,50
1,1600567200 3 8022 2430 1 6660 28500 1 27 27,88
1,1600570800 3 8022 2430 1 6660 28500 1 27 27,88
